chromosome	start	stop	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	phylogeny	sites	length	origin
APscaff0015ScX6Gil_5HRSCAF113	65838	67688	-3950.970033	-3953.013086	-3958.742744	-3954.239951	-3953.155964	-3960.613202	-3949.532876	-3953.06133	-3950.856196	-3952.499197	-3956.688503	-3952.740902	-3961.132974	-3955.204174	-3955.86864	A	2675	341	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	70794	71246	-1353.574547	-1354.905053	-1354.199731	-1354.905071	-1353.574634	-1354.199819	-1354.851233	-1354.851053	-1354.8511	-1353.574565	-1353.790648	-1353.788953	-1354.199794	-1354.690677	-1354.69076	A	920	126	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	139600	143075	-9951.92114	-9952.445149	-9944.78022	-9954.265921	-9954.092603	-9953.864971	-9946.030455	-9943.597217	-9944.612201	-9953.078544	-9944.646031	-9951.810847	-9953.084824	-9951.741935	-9952.633253	A	5528	811	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	328428	336885	-4671.434839	-4672.621174	-4669.852848	-4674.064963	-4671.307672	-4674.492906	-4673.894815	-4669.405534	-4674.22289	-4667.717951	-4667.950582	-4666.202223	-4674.624758	-4674.62486	-4673.030537	A	3408	544	others
APscaff0015ScX6Gil_5HRSCAF113	345472	349929	-3374.954941	-3372.522137	-3375.091689	-3373.590642	-3375.836026	-3375.836017	-3373.590708	-3374.977417	-3374.848681	-3375.078651	-3375.082756	-3372.006052	-3376.467993	-3374.95499	-3373.529996	A	2160	386	others
APscaff0015ScX6Gil_5HRSCAF113	383025	386304	-5290.027899	-5290.281929	-5279.872394	-5290.281881	-5290.281912	-5286.484955	-5288.160333	-5279.914661	-5288.160384	-5290.281938	-5280.669238	-5290.281953	-5286.484867	-5290.027843	-5290.281901	J	2082	841	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	446695	449632	-6909.461109	-6916.202828	-6897.511665	-6906.939701	-6905.922973	-6894.769063	-6912.316449	-6902.819889	-6905.776756	-6915.059217	-6905.552771	-6915.022251	-6898.953964	-6904.513335	-6907.123827	A	7313	915	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	582084	585126	-2496.334566	-2493.636519	-2497.232698	-2490.701888	-2494.54115	-2494.540376	-2489.756294	-2489.7563	-2489.755027	-2497.247431	-2497.203583	-2497.24742	-2497.232689	-2496.33447	-2497.353785	J	1220	407	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	687752	691732	-9476.585171	-9472.647352	-9469.152829	-9469.869352	-9472.75218	-9465.213758	-9474.088318	-9471.556101	-9476.689928	-9476.806048	-9471.86392	-9472.691156	-9466.654222	-9473.573534	-9469.354003	C	5702	1012	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	716155	717858	-1915.47721	-1914.18003	-1912.795065	-1917.203102	-1916.658651	-1917.632088	-1916.14164	-1911.987537	-1915.24246	-1911.205311	-1911.977107	-1908.644516	-1917.054604	-1916.278744	-1913.770641	B	1484	202	others
APscaff0015ScX6Gil_5HRSCAF113	729087	731567	-6963.890241	-6964.932858	-6961.421399	-6964.932855	-6965.147585	-6964.625792	-6963.419828	-6960.558309	-6962.789046	-6964.32606	-6961.488329	-6964.326052	-6964.418453	-6963.890259	-6964.888712	C	2902	506	others
APscaff0015ScX6Gil_5HRSCAF113	739079	753154	-7823.901229	-7871.287399	-7871.063506	-7807.877518	-7803.619119	-7806.839676	-7871.287262	-7872.811001	-7872.811165	-7823.900841	-7872.811123	-7872.811242	-7871.063668	-7872.811241	-7872.811354	B	4592	1180	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	757559	760040	-6729.394066	-6742.608767	-6752.504908	-6731.289897	-6717.251285	-6736.67201	-6740.378048	-6747.076418	-6738.60065	-6722.969201	-6740.154847	-6736.48096	-6749.181559	-6743.249763	-6747.728798	A	5577	689	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	813790	818497	-2808.374716	-2808.318775	-2805.761094	-2808.318775	-2808.374716	-2805.76108	-2808.31878	-2805.761092	-2808.374716	-2808.374716	-2805.76109	-2808.318775	-2805.761092	-2808.374716	-2808.31878	K	1401	320	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	891113	902656	-6498.686814	-6498.009958	-6492.928778	-6498.271435	-6498.800972	-6500.208903	-6478.704092	-6473.471104	-6478.08249	-6496.442629	-6491.058451	-6498.392925	-6499.536255	-6499.716557	-6499.282428	A	6943	1036	oldgenes
APscaff0015ScX6Gil_5HRSCAF113	906612	913593	-5849.091586	-5841.112106	-5843.41663	-5842.748146	-5843.522958	-5843.711539	-5839.004913	-5839.028188	-5845.279043	-5839.773346	-5839.806282	-5838.033685	-5849.537538	-5849.231351	-5847.403755	A	4105	603	others
APscaff0015ScX6Gil_5HRSCAF113	962344	980368	-10445.16645	-10461.21087	-10461.10605	-10458.28256	-10447.60358	-10458.28275	-10461.10616	-10461.10638	-10458.32315	-10447.60343	-10461.10605	-10461.21052	-10461.19509	-10458.33357	-10461.19525	J	5080	2151	others
APscaff0015ScX6Gil_5HRSCAF113	1004845	1005915	-3980.916914	-3978.489417	-3970.889366	-3972.746338	-3976.103419	-3972.011775	-3978.883709	-3974.602403	-3980.205607	-3982.803429	-3975.301197	-3983.42073	-3972.767305	-3976.69491	-3978.48035	C	2613	340	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	1140890	1141981	-4563.39639	-4563.978913	-4561.17787	-4562.817382	-4566.841128	-4568.633644	-4557.501994	-4554.210572	-4555.480904	-4567.935365	-4561.120539	-4571.173425	-4570.044493	-4564.515187	-4571.365322	A	2952	333	long_or_complete
