chromosome	start	stop	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	phylogeny	sites	length	origin
APscaff0015ScX6Gil_5HRSCAF113	65838	67688	0.13994851482377282	0.018141853259404473	5.892814867510828e-05	0.005319379194139533	0.01572644363898451	9.078063352509076e-06	0.5890031924250033	0.017287394662788644	0.1568220312885898	0.030329189654277763	0.0004596934630589777	0.02381714271909453	5.398325876838578e-06	0.002028169381545906	0.0010435909514354461	A	2675	341	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	70794	71246	0.1213785115868196	0.03208561689475241	0.06495728226386964	0.03208503935884761	0.12136795211564047	0.0649515662745373	0.033859779274222616	0.033865874583053325	0.033864282924352354	0.12137632679327977	0.0977890744790493	0.09795496751491413	0.06495319008398022	0.03975691776995668	0.0397536180827245	A	920	126	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	139600	143075	0.00011509580387077962	6.8153046410088e-05	0.14531874623516436	1.1034026965300455e-05	1.3122152842834342e-05	1.647647916381145e-05	0.04162473490794685	0.47434389698727414	0.17190613132059102	3.617473180559169e-05	0.1661878175346084	0.00012851657170228964	3.594826633572798e-05	0.00013768519156753987	5.6466743751335196e-05	A	5528	811	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	328428	336885	0.0036168722210464183	0.0011043695454208795	0.01759475110713476	0.0002606662631863508	0.004107344140115494	0.00016991493067271946	0.00030901471712435245	0.02752004436088977	0.00022258608017894688	0.14878430281737082	0.1179035155323021	0.6773754004159313	0.0001489254587615898	0.00014891026913948453	0.0007333821407250391	A	3408	544	others
APscaff0015ScX6Gil_5HRSCAF113	345472	349929	0.019907061636086888	0.22675690143933497	0.017362739895644592	0.07789591596522333	0.00824815488366875	0.008248229117395629	0.07789077500441847	0.019464621288871237	0.022138861979851817	0.01759059747418664	0.017518536078761877	0.37992107161434907	0.004384267323526411	0.019906086213960433	0.0827661800847198	A	2160	386	others
APscaff0015ScX6Gil_5HRSCAF113	383025	386304	1.6106337763759207e-05	1.2493179363335989e-05	0.41445423795262065	1.2493779050336288e-05	1.2493391749182803e-05	0.0005567725701648389	0.00010424864306732607	0.39730155052617483	0.00010424332652210425	1.2493066925223713e-05	0.18681495200983989	1.2492879530630032e-05	0.0005568215683067763	1.610723974392691e-05	1.2493529177248969e-05	J	2082	841	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	446695	449632	3.8536785253730413e-07	4.5497142657500206e-10	0.05962838870955572	4.796330087010515e-06	1.3257707219659161e-05	0.9258699493319301	2.2172623212761857e-08	0.0002952029424360901	1.5345097781827933e-05	1.4277365231004827e-09	1.9197519160202583e-05	1.4815018536972683e-09	0.014095178397744242	5.42833234117049e-05	3.989735987948385e-06	A	7313	915	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	582084	585126	0.0004049442201015875	0.006013705116322558	0.00016494586505265426	0.11314521141400827	0.0024336934714353545	0.002435577879354259	0.29127447931406386	0.29127273167236906	0.29164375796787806	0.00016253353171158491	0.00016981885828796662	0.0001625353195902071	0.00016494734957209756	0.00040498309661284585	0.00014613492363965675	J	1220	407	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	687752	691732	8.952141766058738e-06	0.00045930377353126106	0.015126974307816279	0.007388734889954066	0.00041359358260547447	0.7770856128508851	0.00010871674250255473	0.001367805359686944	8.061791539001113e-06	7.177964213476416e-06	0.0010054030723772758	0.00043961872058827505	0.18402774387056625	0.00018191322854110007	0.012370387703426937	C	5702	1012	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	716155	717858	0.0009148638728085574	0.0033474538173904893	0.013372027195746079	0.00016285875335739775	0.00028071341720609815	0.00010604857897241425	0.00047075852714086584	0.029984872435635888	0.0011569300662389282	0.06555693504089537	0.030299251290903537	0.8487069893814376	0.00018893088896228648	0.0004104447308929023	0.005040922002411335	B	1484	202	others
APscaff0015ScX6Gil_5HRSCAF113	729087	731567	0.01634678961380211	0.00576274846041068	0.19303538694945022	0.005762765748682605	0.004649164491314338	0.00783405710163886	0.026165572610106803	0.4575853955180793	0.049167189658027056	0.010572037292004026	0.18053840480934938	0.010572121868640453	0.009639020775589664	0.016346495374241685	0.0060228497286627805	C	2902	506	others
APscaff0015ScX6Gil_5HRSCAF113	739079	753154	1.4747516897038929e-09	0.0	0.0	0.01341924769788084	0.9486966276559806	0.037884121696062666	0.0	0.0	0.0	1.4753240043819331e-09	0.0	0.0	0.0	0.0	0.0	B	4592	1180	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	757559	760040	5.309205912704499e-06	9.681838746544993e-12	0.0	7.974080717030659e-07	0.9967181176637248	3.666558770325717e-09	9.010456564404163e-11	1.1109171433119162e-13	5.329186769278381e-10	0.0032757668667360612	1.1263717772699236e-10	4.438442636737822e-09	0.0	5.1000780136380364e-12	0.0	A	5577	689	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	813790	818497	0.012733995808636421	0.013466649916136265	0.17379861649074863	0.013466649916136265	0.012733995808636421	0.17380104968836618	0.013466582583056719	0.17379896408828882	0.012733995808636421	0.012733995808636421	0.1737993116866032	0.013466649916136265	0.17379896408828882	0.012733995808636421	0.013466582583056719	K	1401	320	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	891113	902656	1.1024840996843294e-11	2.169337683916599e-11	3.4918501343060517e-09	1.6702025494668324e-11	9.835447968217357e-12	2.406231905356478e-12	0.005257245194247628	0.984954219302975	0.009788509152182429	1.0399429056006068e-10	2.266356842859094e-08	1.4791312263259387e-11	4.714816510331136e-12	3.93695664289328e-12	6.077157068292791e-12	A	6943	1036	oldgenes
APscaff0015ScX6Gil_5HRSCAF113	906612	913593	7.2906044630410005e-06	0.02129156916140675	0.0021250326784276593	0.004146527265120208	0.0019106799631264854	0.0015822979360472543	0.17512573126827927	0.1710967490355964	0.0003300121458284734	0.08121266276096546	0.07858141179758885	0.46253960251267456	4.667550702815712e-06	6.339636670552943e-06	3.9425683102163894e-05	A	4105	603	others
APscaff0015ScX6Gil_5HRSCAF113	962344	980368	0.8511763883922675	9.162552929708255e-08	1.0175113071777881e-07	1.7130315856865817e-06	0.07440248776648388	1.7127061406024375e-06	1.0173993870906928e-07	1.0171755838448949e-07	1.644891883899923e-06	0.07441364897684279	1.0175113071777881e-07	9.165760384507821e-08	9.308284815506139e-08	1.6278410993322173e-06	9.30679560906218e-08	J	5080	2151	others
APscaff0015ScX6Gil_5HRSCAF113	1004845	1005915	2.6273553676928972e-05	0.0002976921413086746	0.5948775527492507	0.09288698978753246	0.003235885420032179	0.19362950995273376	0.00020069129258818712	0.014516974075407557	5.351007049023536e-05	3.983050048505467e-06	0.007217615178604043	2.1484504678010046e-06	0.09095970358241927	0.0017910671057101211	0.0003004035897295579	C	2613	340	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	1140890	1141981	7.762297964489634e-05	4.335146566961258e-05	0.0007136434820642863	0.00013850016442291463	2.477191633801575e-06	4.1255304513691685e-07	0.028176949041698103	0.7574262961318421	0.21263864736912055	8.293512691766217e-07	0.0007557529316633274	3.254369968248859e-08	1.0063657817998205e-07	2.5357296342765178e-05	2.6861305446076544e-08	A	2952	333	long_or_complete
APscaff0015ScX6Gil_5HRSCAF113	1442214	1458490	0.007134925576344214	2.7214151100749118e-05	0.31616739997862775	3.176188859127064e-05	0.00010482340730252597	5.5438100890359916e-05	0.00016564502565910696	0.31189663039858456	0.020108283007187658	0.020981724986089235	0.30217968385265886	0.00779444905000195	0.005618202765182656	0.004791252311187997	0.002942565500591315	I	6352	2408	others
APscaff0015ScX6Gil_5HRSCAF113	1459221	1469781	0.08391142272890934	0.18322973557412783	0.001897886220146378	0.11136629809482058	0.00622142357507421	0.0051405843056832315	0.11136841407449215	0.0029181176008464854	0.12672998885542305	0.004626953920994493	0.00428116321191491	0.03177423531456494	0.025947720173182365	0.08390949278849077	0.2166765635613293	I	4186	1062	others
APscaff0015ScX6Gil_5HRSCAF113	1471259	1475044	4.8574801076960726e-05	0.2434142248445671	1.6034231411747914e-05	0.3831576874770649	0.0024663162018076588	0.0019031446958910586	0.3681180302423714	9.65499894960294e-05	0.00024236501108829752	0.00014966671171748674	0.00013358365356766692	0.00021125224641160392	9.318110760803718e-06	2.5004977375741494e-05	8.246805391492554e-06	D	3385	696	long_or_complete
